식당(ID),식당명,주차가능여부,반려동물입장가능여부,다국어메뉴판제공여부
99035,부산초밥,N,N,Y
99251,카와규,N,N,N
1085,커피탱크,N,N,N
1087,미니스톱(연산시티점),N,N,N
1089,썬더치킨,N,N,N
1090,장터한식,N,N,N
1093,목포녹동세발낚지,N,N,N
1094,조은데이,N,N,N
1095,해동숯불생고기,N,N,N
1101,개코포차,N,N,N
1102,카페루미(경성대점),N,N,Y
1103,유성커피숍,N,N,N
1192,백구당,N,N,Y
1207,청탑,N,N,N
1208,경복,N,N,N
1236,유앤아이커피？,N,N,N
1237,세명,N,N,N
1238,까페그루,N,N,N
1239,원조18번완당,Y,N,Y
1267,시민제과,N,N,Y
1269,김밥천국,N,N,N
1270,한성,N,N,N
1345,봉학,N,N,N
1360,815다방,N,N,N
1361,한솥도시락(서면교보생명앞점),N,N,N
1362,진,N,N,N
1473,신한다방,N,N,N
1474,대원,N,N,N
1479,한전구내식당,N,N,N
1482,호수다방,N,N,N
1620,문화,N,N,N
1621,명성,N,N,N
1622,물커피숍,N,N,N
1623,소희,N,N,N
1624,삼각지커피숍,N,N,N
1626,836숯불바베큐치킨(부산문현점),Y,N,Y
1634,진다방,N,N,N
1635,파전이랑 닭갈비(부산대점),N,N,N
1768,울산갈비,N,N,N
1770,딱 한잔,N,N,N
1771,진주식당,N,N,N
1772,블랙맥스,N,N,N
1773,나비 커피숍,N,N,N
1774,오케이커피숍,N,N,N
1775,마포선장(서면점),Y,N,N
1777,충남,N,N,N
1778,명커피숍,N,N,N
1779,우정커피숍,N,N,N
1782,바다커피숍,N,N,N
1783,컴포즈커피(부산교대점),N,N,N
1784,새한커피전문점,N,N,N
1945,광복수제비,N,N,N
1946,롯데리아(부산비프광장점),N,N,Y
1947,대궁한우구이,Y,N,Y
1954,진식당,N,N,N
1955,부일식당,N,N,N
1958,명신커피숍,N,N,N
1959,내고향전통찻집,N,N,N
1961,웨이양,Y,N,N
1962,여로다방,N,N,N
1971,산마루다방,N,N,N
2232,제2부두노무자급식소,N,N,N
2239,신전떡볶이(부산동구점),N,N,N
2240,통영숯불바다장어,N,N,N
2244,준이네통닭,N,N,N
2245,항남,N,N,N
2248,시장칼국수,N,N,N
2249,제일횟집,N,N,Y
2250,혜성커피숍,N,N,N
2252,동성,N,N,N
2254,진주횟집,N,N,Y
2255,남항횟집,Y,N,Y
2257,죽도횟집,N,N,N
2258,해변횟집,N,N,Y
2259,나루터연화,Y,N,N
2260,온정주촌,N,N,N
2262,동남횟집(본점),Y,N,N
2537,급행,N,N,N
2539,경남복국,Y,N,N
2541,한성,N,N,N
2548,로타리다방,N,N,N
2554,칼국수집,N,N,N
2556,부산돼지국밥,N,N,Y
2557,옛날손칼국수,N,N,N
2559,포항횟집,N,N,N
2563,골목집,N,N,N
2570,고궁다방,N,N,N
2924,빨간 지붕 앤,N,N,Y
2929,다거도횟집,N,N,Y
2932,오뚜기식당,N,N,N
2933,초량골목갈비 원조산수갑산,N,N,Y
2934,오븐에꾸운닭(초량점),N,N,N
2941,너랑나랑,N,N,N
2942,산정,N,N,N
2946,피자랩소디,N,N,N
2947,한우소머리곰탕,N,N,N
2948,첼로커피숍,N,N,N
2955,연자방아,N,N,N
2956,산성집,Y,N,Y
2957,청기와집,N,N,N
2958,차씨집,N,N,Y
2959,성안집,Y,N,Y
2960,민속촌집,N,N,N
2961,감나무집,N,N,N
2962,물레방아집,Y,N,Y
2963,부곡반점,N,N,N
2964,향우,N,N,N
2965,반도다방,N,N,N
2974,동양다방,N,N,N
2975,약수,N,N,N
2976,화목다방,N,N,N
3269,정인식당,N,N,N
3270,고이 담은 참떡(중앙동점),N,N,N
3271,실비집,N,N,N
3272,중앙식당,N,N,Y
3273,부산서구지역자활센터 등푸른밥상,N,N,Y
3274,오븐에꾸운닭(동대신점),N,N,N
3275,골목집,Y,N,N
3277,개미식당,N,N,Y
3280,마산집돼지국밥,N,N,Y
3281,새송도복국집,N,N,N
3282,진주돼지국밥,Y,N,N
3285,개림횟집,N,N,Y
3286,삼천포식당,N,N,Y
3287,마산칼국수,N,N,N
3288,숙이네식당,N,N,N
3289,서울집,N,N,N
3290,고목나무집,N,N,N
3291,호남간이음식점,N,N,N
3292,할매곱창집,N,N,Y
3293,삼오식당,N,N,N
3294,동화식당,N,N,N
3295,풍년식당,N,N,N
3296,땡벌,N,N,N
3297,양지식당,N,N,N
3298,또순이집,N,N,N
3300,진주집,N,N,N
3301,오복당,N,N,N
3302,흥부집,N,N,N
3303,할매집,N,N,N
3304,마산집,N,N,N
3305,또와요 분식,N,N,N
3306,야광,N,N,N
3307,정아네집,N,N,N
3308,마산아구찜,N,N,Y
3309,오뚜기 식당,N,N,N
3310,탁주집,N,N,N
3311,풍년식당,N,N,N
3312,부산집,N,N,N
3313,좌성대집,N,N,N
3314,강남집,N,N,N
3315,부연집,N,N,N
