음식이미지(ID),식당(ID),식당명,음식이미지(URL)
101,34618,배비장보쌈(구서본점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2079114_1638843360_menu.png
103,34618,배비장보쌈(구서본점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2079122_1638843360_menu.png
105,34618,배비장보쌈(구서본점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2079348_1638843360_menu.png
107,34618,배비장보쌈(구서본점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2079351_1638843360_menu.png
163,46403,정원바다횟집,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2472015_1638845055_menu.png
131,54348,영광횟집,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/3015973_1638843794_menu.png
116,54380,조선칼국수,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1358734_1638843640_menu.png
151,64047,신대감집,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2408545_1638844961_menu.png
56,64058,양지탕,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2973037_1638843251_menu.png
164,64072,정원바다횟집,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2472015_1638845055_menu.png
75,75631,별난낙지(하단점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/810708_1638843273_menu.png
76,75631,별난낙지(하단점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/810848_1638843273_menu.png
77,75631,별난낙지(하단점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/810707_1638843273_menu.png
81,75667,청사초롱,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/838286_1638843274_menu.png
82,75667,청사초롱,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/838288_1638843274_menu.png
83,75667,청사초롱,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/838635_1638843274_menu.png
84,75667,청사초롱,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/838284_1638843274_menu.png
190,87194,한솥도시락(동아대점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2326212_1638846184_menu.png
64,98902,원조서울삼계탕,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2161974_1638843253_menu.png
66,98902,원조서울삼계탕,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2161977_1638843253_menu.png
166,98903,배스킨라빈스(부산부평점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2320802_1638845060_menu.png
191,99513,대성관초밥,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2476169_1638846184_menu.jpg
57,99587,원조메,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1669446_1638843252_menu.png
54,112538,오륙도낙지,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1261894_1638843250_menu.png
55,112538,오륙도낙지,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1261897_1638843250_menu.png
162,126507,맛송송면집,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2115034_1638845055_menu.png
33,126543,개미집(본점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2941347_1638842683_menu.png
35,126543,개미집(본점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2941349_1638842683_menu.png
37,126543,개미집(본점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2941350_1638842683_menu.png
39,126543,개미집(본점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2941348_1638842683_menu.png
41,126543,개미집(본점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2941352_1638842683_menu.png
43,126543,개미집(본점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2941351_1638842684_menu.png
45,126543,개미집(본점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2941362_1638842684_menu.png
60,127351,예향,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2476362_1638843252_menu.png
61,127351,예향,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2476363_1638843253_menu.png
62,127351,예향,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2476364_1638843253_menu.png
102,127405,배비장보쌈(구서본점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2079114_1638843360_menu.png
