식당(ID),식당위도,식당경도
1784,35.1828,129.0705
1945,35.099,129.0307
1946,35.0983,129.0293
1947,35.105,129.021
1954,35.0954,129.0532
1955,35.0694,129.0809
1958,35.1594,129.0597
1959,35.1585,129.0581
1961,35.1383,129.1042
1962,35.143,129.0671
1971,35.244,129.2131
2232,35.1067,129.0414
2239,35.1194,129.0403
2240,35.1379,129.0602
2244,35.0787,129.0453
2245,35.0922,129.0377
2248,35.1557,129.0581
2249,35.1595,129.0566
2250,35.1749,129.0757
2252,35.2154,129.1019
2254,35.2249,129.2279
2255,35.2242,129.227
2257,35.2195,129.2269
2258,35.1842,129.2112
2259,35.2182,129.2278
2260,35.3052,129.1109
2262,35.1845,129.2113
2537,35.101,129.0351
2539,35.1012,129.0349
2541,35.1062,129.0373
2548,35.0965,129.0248
2554,35.1557,129.0581
2556,35.1474,129.0582
2557,35.143,129.0596
2559,35.1426,129.0623
2563,35.1696,129.1385
2570,35.2415,129.2137
2924,35.1024,129.0195
2929,35.0962,129.0248
2932,35.1263,129.0351
2933,35.1192,129.0398
2934,35.1192,129.04
2941,35.1637,129.0629
2942,35.1751,129.0763
2946,35.1698,129.139
2947,35.2252,129.1491
2948,35.2292,129.1489
2955,35.2429,129.056
2956,35.2442,129.0555
2957,35.244,129.0558
2958,35.2464,129.0622
2959,35.2464,129.0616
2960,35.2438,129.0561
2961,35.2438,129.0561
2962,35.2444,129.0556
2963,35.2247,129.0921
2964,35.2733,129.0924
2965,35.1827,129.083
2974,35.1568,128.9872
2975,35.1509,129.0121
2976,35.1512,128.9976
3269,35.0968,129.0354
3270,35.1058,129.0356
3271,35.1007,129.036
3272,35.1006,129.036
3273,35.1093,129.02
3274,35.1106,129.0183
3275,35.1117,129.0174
3277,35.097,129.024
3280,35.1169,129.0123
3281,35.1169,129.0123
3282,35.0956,129.0254
3285,35.0957,129.0253
3286,35.0957,129.0252
3287,35.0957,129.0252
3288,35.0654,129.0133
3289,35.0646,129.0137
3290,35.0651,129.0135
3291,35.1276,129.0461
3292,35.13,129.0459
3293,35.1273,129.0458
3294,35.1376,129.054
3295,35.1302,129.0531
3296,35.1193,129.0403
3297,35.12,129.0397
3298,35.1147,129.0381
3300,35.12,129.0397
3301,35.1406,129.0586
3302,35.1364,129.0583
3303,35.1367,129.0629
3304,35.1251,129.0435
3305,35.1244,129.0404
3306,35.1194,129.0403
3307,35.1194,129.0403
3308,35.1293,129.0475
3309,35.1299,129.0434
3310,35.1158,129.0391
3311,35.1372,129.0616
3312,35.1394,129.059
3313,35.1367,129.062
3314,35.1194,129.0403
3315,35.1194,129.0403
3316,35.1194,129.0403
3317,35.1185,129.0406
3319,35.1352,129.0576
3320,35.1299,129.0484
3321,35.0856,129.0423
3322,35.0925,129.0323
3323,35.0925,129.0454
3324,35.0929,129.0322
3325,35.0929,129.0322
3327,35.0923,129.0572
3328,35.0952,129.0535
3329,35.1591,129.0593
3330,35.1592,129.059
